,Pred_name,Com_name,F,E,T,% Empty,min,max,Mean,+/-SD,year
83,Gadus macrocephalus,Pacific cod,255,6,261,2.298850575,14,99,49.00784314,8.130456031,2005
84,Hippoglossus stenolepis,Pacific halibut,110,48,158,30.37974684,26,163,64.36363636,11.60724372,2005
85,Merluccius productus,North Pacific hake,1,1,2,50,51,51,51,NA,2005
86,Pleurogrammus monopterygius,Atka mackerel,7,4,11,36.36363636,42,46,43.71428571,0.801783726,2005
87,Raja binoculata,big skate,9,0,9,0,82,126,99,8.170067319,2005
88,Raja rhina,longnose skate,24,9,33,27.27272727,46,115,76.41666667,9.291085801,2005
89,Sebastes aleutianus,rougheye rockfish,52,30,82,36.58536585,17,54,31.53846154,5.1473023,2005
90,Sebastes alutus,Pacific ocean perch,98,39,137,28.46715328,13,43,29.59183673,3.531038175,2005
91,Sebastes borealis,shortraker rockfish,9,5,14,35.71428571,41,64,52.55555556,4.562832941,2005
92,Sebastolobus alascanus,0,71,32,103,31.06796117,17,53,28.49295775,3.914143985,2005
93,Anoplopoma fimbria,sablefish,232,87,319,27.27272727,27,90,59.35344828,5.514739914,2007
94,Atheresthes stomias,arrowtooth flounder,468,349,817,42.71725826,12,79,39.92094017,7.847518832,2007
95,Bathyraja aleutica,Aleutian skate,12,1,13,7.692307692,60,93,75,5.431390246,2007
96,Bathyraja interrupta,sandpaper skate,12,1,13,7.692307692,44,78,57.83333333,7.01567509,2007
97,Bathyraja parmifera,Alaska skate,7,1,8,12.5,24,88,59,11.92686044,2007
98,Bathyraja trachura,roughtail skate,1,0,1,0,46,46,46,NA,2007
99,Coryphaenoides acrolepis,Pacific grenadier,13,2,15,13.33333333,4,20,12.84615385,2.243937702,2007
100,Gadus chalcogrammus,walleye pollock,781,51,832,6.129807692,11,74,41.18950064,7.807580839,2007
101,Gadus macrocephalus,Pacific cod,637,11,648,1.697530864,15,95,49.94191523,7.838053514,2007
102,Glyptocephalus zachirus,Rex sole,159,3,162,1.851851852,15,50,31.10062893,3.963917545,2007
103,Hemilepidotus jordani,yellow Irish lord,20,0,20,0,33,46,38.5,2.197486603,2007
104,Hexagrammos decagrammus,kelp greenling,5,0,5,0,37,45,41.8,1.673320053,2007
105,Hippoglossoides elassodon,flathead sole,73,27,100,27,11,49,30.04109589,4.501881055,2007
106,Hippoglossus stenolepis,Pacific halibut,538,138,676,20.41420118,16,167,60.78810409,9.796102003,2007
107,Isopsetta isolepis,butter sole,19,9,28,32.14285714,16,42,28.94736842,3.025234996,2007
108,Lepidopsetta bilineata,rock sole,67,10,77,12.98701299,15,58,32.49253731,5.044028223,2007
109,Lepidopsetta polyxystra,northern rock sole,29,4,33,12.12121212,14,45,30.96551724,4.698941292,2007
110,Limanda aspera,yellowfin sole,25,5,30,16.66666667,17,45,29.36,3.902136167,2007
111,Merluccius productus,North Pacific hake,2,0,2,0,51,65,58,4.949747468,2007
112,Microstomus pacificus,Dover sole,116,8,124,6.451612903,25,64,42.4137931,3.480422866,2007
113,Oncorhynchus tshawytscha,Chinook salmon,1,0,1,0,62,62,62,NA,2007
114,Ophiodon elongatus,0,19,3,22,13.63636364,54,125,91.05263158,8.049281687,2007
115,Parophrys vetulus,English sole,9,0,9,0,23,51,33.44444444,4.610525398,2007
116,Platichthys stellatus,starry flounder,5,5,10,50,40,61,48.4,4.396020928,2007
117,Pleurogrammus monopterygius,Atka mackerel,34,8,42,19.04761905,29,49,42.38235294,2.782561241,2007
118,Pleuronectes quadrituberculatus,Alaska plaice,25,0,25,0,32,58,45.2,3.889087297,2007
119,Raja binoculata,big skate,21,1,22,4.545454545,53,127,88.42857143,10.87378893,2007
120,Raja rhina,longnose skate,9,2,11,18.18181818,46,104,74.88888889,10.16564202,2007
121,Sebastes alutus,Pacific ocean perch,8,0,8,0,12,24,17.75,2.489262656,2007
122,Sebastes babcocki,redbanded rockfish,22,0,22,0,21,47,34,3.2769033,2007
123,Sebastes brevispinis,silvergray rockfish,10,3,13,23.07692308,44,64,51.1,2.813163502,2007
124,Sebastes ciliatus,dusky rockfish,2,0,2,0,37,37,37,0,2007
125,Sebastes proriger,redstripe rockfish,10,6,16,37.5,29,48,39.1,3.624377341,2007
126,Sebastes ruberrimus,yelloweye rockfish,1,2,3,66.66666667,54,54,54,NA,2007
127,Sebastes variabilis,0,39,3,42,7.142857143,34,48,43.41025641,1.485535296,2007
128,Sebastes variegatus,harlequin rockfish,15,0,15,0,15,37,31.66666667,2.8073034,2007
